Date : 2024-05-19 11:14:13
Directory : d:\MakeGames\GameProject\ori
Total : 370 files,  15829 codes, 205 comments, 1005 blanks, all 17039 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| mod_source\entities\idle_creatures\livestock\poultry                                           |          2 |         44 |          0 |          0 |         44 |
| mod_source\entities\idle_creatures\tiny_animals                                                |         11 |        242 |          0 |          0 |        242 |
| mod_source\entities\region_guards                                                              |          2 |         32 |          0 |          0 |         32 |
| mod_source\entities\slimes                                                                     |          7 |        225 |          0 |          0 |        225 |
| mod_source\items                                                                               |         63 |        850 |          0 |          0 |        850 |
| mod_source\items (Files)                                                                       |         22 |        226 |          0 |          0 |        226 |
| mod_source\items\armors                                                                        |          7 |        108 |          0 |          0 |        108 |
| mod_source\items\foods                                                                         |         26 |        360 |          0 |          0 |        360 |
| mod_source\items\foods (Files)                                                                 |         13 |        197 |          0 |          0 |        197 |
| mod_source\items\foods\condiments                                                              |          1 |          8 |          0 |          0 |          8 |
| mod_source\items\foods\dishes                                                                  |         11 |        139 |          0 |          0 |        139 |
| mod_source\items\foods\dishes (Files)                                                          |          8 |         97 |          0 |          0 |         97 |
| mod_source\items\foods\dishes\deep-frying                                                      |          3 |         42 |          0 |          0 |         42 |
| mod_source\items\foods\juices                                                                  |          1 |         16 |          0 |          0 |         16 |
| mod_source\items\tools                                                                         |          8 |        156 |          0 |          0 |        156 |
| mod_source\items\tools\hoes                                                                    |          2 |         30 |          0 |          0 |         30 |
| mod_source\items\tools\knives                                                                  |          2 |         50 |          0 |          0 |         50 |
| mod_source\items\tools\saws                                                                    |          1 |         13 |          0 |          0 |         13 |
| mod_source\items\tools\weapons                                                                 |          3 |         63 |          0 |          0 |         63 |
| mod_source\langs                                                                               |          3 |      4,019 |          0 |          0 |      4,019 |
| mod_source\recipes                                                                             |         52 |        882 |          0 |          0 |        882 |
| mod_source\recipes\cooking                                                                     |         12 |        178 |          0 |          0 |        178 |
| mod_source\recipes\cooking (Files)                                                             |          8 |        116 |          0 |          0 |        116 |
| mod_source\recipes\cooking\deep-frying                                                         |          4 |         62 |          0 |          0 |         62 |
| mod_source\recipes\crafting                                                                    |         40 |        704 |          0 |          0 |        704 |
| mod_source\recipes\crafting (Files)                                                            |         26 |        440 |          0 |          0 |        440 |
| mod_source\recipes\crafting\acacia                                                             |          1 |         15 |          0 |          0 |         15 |
| mod_source\recipes\crafting\banyan                                                             |          1 |         15 |          0 |          0 |         15 |
| mod_source\recipes\crafting\flint                                                              |          4 |         87 |          0 |          0 |         87 |
| mod_source\recipes\crafting\iron                                                               |          3 |         72 |          0 |          0 |         72 |
| mod_source\recipes\crafting\mangrove                                                           |          1 |         15 |          0 |          0 |         15 |
| mod_source\recipes\crafting\maple                                                              |          1 |         15 |          0 |          0 |         15 |
| mod_source\recipes\crafting\oak                                                                |          1 |         15 |          0 |          0 |         15 |
| mod_source\recipes\crafting\sea_hibiscus                                                       |          1 |         15 |          0 |          0 |         15 |
| mod_source\recipes\crafting\tangerine                                                          |          1 |         15 |          0 |          0 |         15 |
| mod_source\spells                                                                              |          2 |         21 |          0 |          0 |         21 |
| mod_source\structures                                                                          |          8 |        612 |          0 |          0 |        612 |
| mod_source\structures (Files)                                                                  |          1 |        168 |          0 |          0 |        168 |
| mod_source\structures\trees                                                                    |          7 |        444 |          0 |          0 |        444 |
| scripts                                                                                        |         93 |      3,714 |        205 |      1,005 |      4,924 |
| scripts (Files)                                                                                |          2 |         86 |          8 |         25 |        119 |
| scripts\Blocks                                                                                 |         24 |      1,394 |         95 |        346 |      1,835 |
| scripts\Blocks (Files)                                                                         |         21 |      1,179 |         76 |        299 |      1,554 |
| scripts\Blocks\Furnaces                                                                        |          2 |         40 |          0 |          9 |         49 |
| scripts\Blocks\Interfaces                                                                      |          1 |        175 |         19 |         38 |        232 |
| scripts\Core                                                                                   |          1 |         34 |          6 |         10 |         50 |
| scripts\Entities                                                                               |         47 |      1,506 |         51 |        403 |      1,960 |
| scripts\Entities (Files)                                                                       |          5 |        407 |         14 |        118 |        539 |
| scripts\Entities\Behaviours                                                                    |          3 |        162 |         22 |         41 |        225 |
| scripts\Entities\Bullets                                                                       |          6 |        139 |          1 |         36 |        176 |
| scripts\Entities\Bullets (Files)                                                               |          4 |        104 |          1 |         30 |        135 |
| scripts\Entities\Bullets\Arrows                                                                |          2 |         35 |          0 |          6 |         41 |
| scripts\Entities\IdleCreatures                                                                 |          6 |        158 |          4 |         39 |        201 |
| scripts\Entities\IdleCreatures (Files)                                                         |          1 |         55 |          2 |         15 |         72 |
| scripts\Entities\IdleCreatures\Livestock                                                       |          5 |        103 |          2 |         24 |        129 |
| scripts\Entities\IdleCreatures\Livestock (Files)                                               |          2 |         35 |          1 |          9 |         45 |
| scripts\Entities\IdleCreatures\Livestock\Poultry                                               |          3 |         68 |          1 |         15 |         84 |
| scripts\Entities\RegionGuard                                                                   |          4 |        239 |          6 |         91 |        336 |
| scripts\Entities\Slimes                                                                        |          8 |        162 |          1 |         34 |        197 |
| scripts\Entities\Spores                                                                        |          1 |         26 |          1 |          3 |         30 |
| scripts\Entities\TinyAnimals                                                                   |         12 |        145 |          1 |         21 |        167 |
| scripts\Entities\TreeMen                                                                       |          2 |         68 |          1 |         20 |         89 |
| scripts\ItemBehaviours                                                                         |         17 |        561 |         27 |        181 |        769 |
| scripts\SpellBehaviours                                                                        |          2 |        133 |         18 |         40 |        191 |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                       | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\MakeGames\GameProject\ori\mod_source\audio_settings.json                                    | JSON     |        280 |          0 |          0 |        280 |
| d:\MakeGames\GameProject\ori\mod_source\biomes\center.json                                     | JSON     |         60 |          0 |          0 |         60 |
| d:\MakeGames\GameProject\ori\mod_source\biomes\desert.json                                     | JSON     |         58 |          0 |          0 |         58 |
| d:\MakeGames\GameProject\ori\mod_source\biomes\grassland.json                                  | JSON     |         49 |          0 |          0 |         49 |
| d:\MakeGames\GameProject\ori\mod_source\biomes\grassland_fighting.json                         | JSON     |         28 |          0 |          0 |         28 |
| d:\MakeGames\GameProject\ori\mod_source\biomes\oak_forest.json                                 | JSON     |         93 |          0 |          0 |         93 |
| d:\MakeGames\GameProject\ori\mod_source\biomes\prefabs\blocks\cactuses.json                    | JSON     |         86 |          0 |          0 |         86 |
| d:\MakeGames\GameProject\ori\mod_source\biomes\prefabs\blocks\dirt_surface.json                | JSON     |         23 |          0 |          0 |         23 |
| d:\MakeGames\GameProject\ori\mod_source\biomes\prefabs\blocks\ores.json                        | JSON     |         90 |          0 |          0 |         90 |
| d:\MakeGames\GameProject\ori\mod_source\biomes\prefabs\blocks\plants_frigid_zone.json          | JSON     |         21 |          0 |          0 |         21 |
| d:\MakeGames\GameProject\ori\mod_source\biomes\prefabs\blocks\plants_temperate_zone.json       | JSON     |        242 |          0 |          0 |        242 |
| d:\MakeGames\GameProject\ori\mod_source\biomes\prefabs\blocks\plants_tropic.json               | JSON     |        164 |          0 |          0 |        164 |
| d:\MakeGames\GameProject\ori\mod_source\biomes\prefabs\blocks\pools.json                       | JSON     |         44 |          0 |          0 |         44 |
| d:\MakeGames\GameProject\ori\mod_source\biomes\prefabs\blocks\universal_surface.json           | JSON     |         18 |          0 |          0 |         18 |
| d:\MakeGames\GameProject\ori\mod_source\biomes\rain_forest.json                                | JSON     |        110 |          0 |          0 |        110 |
| d:\MakeGames\GameProject\ori\mod_source\biomes\savannah_grassland.json                         | JSON     |         69 |          0 |          0 |         69 |
| d:\MakeGames\GameProject\ori\mod_source\biomes\snowfield.json                                  | JSON     |         42 |          0 |          0 |         42 |
| d:\MakeGames\GameProject\ori\mod_source\biomes\swamp.json                                      | JSON     |         63 |          0 |          0 |         63 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\bamboo.json                                     | JSON     |         21 |          0 |          0 |         21 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\barrel.json                                     | JSON     |         14 |          0 |          0 |         14 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\berry_bush.json                                 | JSON     |         18 |          0 |          0 |         18 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\boundary.json                                   | JSON     |         12 |          0 |          0 |         12 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\bush.json                                       | JSON     |         17 |          0 |          0 |         17 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\cactus.json                                     | JSON     |         18 |          0 |          0 |         18 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\campfire.json                                   | JSON     |         23 |          0 |          0 |         23 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\chests\wooden.json                              | JSON     |         17 |          0 |          0 |         17 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\clay.json                                       | JSON     |          9 |          0 |          0 |          9 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\crops\carrot_crop.json                          | JSON     |         42 |          0 |          0 |         42 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\crops\onion_crop.json                           | JSON     |         42 |          0 |          0 |         42 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\crops\potato_crop.json                          | JSON     |         38 |          0 |          0 |         38 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\crops\pumpkin_crop.json                         | JSON     |         48 |          0 |          0 |         48 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\crops\tomato_crop.json                          | JSON     |         49 |          0 |          0 |         49 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\crops\watermelon_crop.json                      | JSON     |         48 |          0 |          0 |         48 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\dead_tree.json                                  | JSON     |         17 |          0 |          0 |         17 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\dirt.json                                       | JSON     |          9 |          0 |          0 |          9 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\dog_tail_grass.json                             | JSON     |         17 |          0 |          0 |         17 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\extinguished_campfire.json                      | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\farmland.json                                   | JSON     |         10 |          0 |          0 |         10 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\flowering_cactus.json                           | JSON     |         26 |          0 |          0 |         26 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\flowers\banana_shrub.json                       | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\flowers\daisy.json                              | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\flowers\dandelion.json                          | JSON     |         17 |          0 |          0 |         17 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\flowers\honeysuckle.json                        | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\flowers\jasmine_flower.json                     | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\flowers\lavender.json                           | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\flowers\morning_glory.json                      | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\flowers\rose.json                               | JSON     |         17 |          0 |          0 |         17 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\flowers\tulip.json                              | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\frying_pan.json                                 | JSON     |         10 |          0 |          0 |         10 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\furnaces\brick_furnace.json                     | JSON     |         14 |          0 |          0 |         14 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\furnaces\clay_furnace.json                      | JSON     |         14 |          0 |          0 |         14 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\furnaces\soft_clay_furnace.json                 | JSON     |         14 |          0 |          0 |         14 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\grass.json                                      | JSON     |         17 |          0 |          0 |         17 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\grass_block.json                                | JSON     |         14 |          0 |          0 |         14 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\gravel.json                                     | JSON     |         18 |          0 |          0 |         18 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\gravel_pile.json                                | JSON     |         10 |          0 |          0 |         10 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\ladder.json                                     | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\acacia\leaf.json                           | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\acacia\log.json                            | JSON     |         20 |          0 |          0 |         20 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\acacia\planks.json                         | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\acacia\seed.json                           | JSON     |         24 |          0 |          0 |         24 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\acacia\tree_log.json                       | JSON     |         22 |          0 |          0 |         22 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\banyan\leaf.json                           | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\banyan\log.json                            | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\banyan\planks.json                         | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\banyan\seed.json                           | JSON     |         24 |          0 |          0 |         24 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\banyan\tree_log.json                       | JSON     |         22 |          0 |          0 |         22 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\mangrove\leaf.json                         | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\mangrove\log.json                          | JSON     |         21 |          0 |          0 |         21 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\mangrove\planks.json                       | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\mangrove\seed.json                         | JSON     |         24 |          0 |          0 |         24 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\mangrove\tree_log.json                     | JSON     |         22 |          0 |          0 |         22 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\maple\leaf.json                            | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\maple\log.json                             | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\maple\planks.json                          | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\maple\seed.json                            | JSON     |         24 |          0 |          0 |         24 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\maple\tree_log.json                        | JSON     |         22 |          0 |          0 |         22 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\oak\door.json                              | JSON     |         34 |          0 |          0 |         34 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\oak\leaf.json                              | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\oak\log.json                               | JSON     |         20 |          0 |          0 |         20 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\oak\planks.json                            | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\oak\seed.json                              | JSON     |         24 |          0 |          0 |         24 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\oak\tree_log.json                          | JSON     |         22 |          0 |          0 |         22 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\sea_hibiscus\leaf.json                     | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\sea_hibiscus\log.json                      | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\sea_hibiscus\planks.json                   | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\sea_hibiscus\seed.json                     | JSON     |         24 |          0 |          0 |         24 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\sea_hibiscus\tree_log.json                 | JSON     |         22 |          0 |          0 |         22 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\tangerine\leaf.json                        | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\tangerine\log.json                         | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\tangerine\planks.json                      | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\tangerine\seed.json                        | JSON     |         24 |          0 |          0 |         24 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\logs\tangerine\tree_log.json                    | JSON     |         22 |          0 |          0 |         22 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\ores\copper_ore.json                            | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\ores\gold_ore.json                              | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\ores\iron_ore.json                              | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\ores\silver_ore.json                            | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\ores\stone.json                                 | JSON     |         13 |          0 |          0 |         13 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\picked_berry_bush.json                          | JSON     |         17 |          0 |          0 |         17 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\portal.json                                     | JSON     |         13 |          0 |          0 |         13 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\portal_base.json                                | JSON     |         12 |          0 |          0 |         12 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\remote_market.json                              | JSON     |         14 |          0 |          0 |         14 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\sand.json                                       | JSON     |         29 |          0 |          0 |         29 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\savannah_grass_block.json                       | JSON     |         13 |          0 |          0 |         13 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\snow_block.json                                 | JSON     |         12 |          0 |          0 |         12 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\soup_pot.json                                   | JSON     |         14 |          0 |          0 |         14 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\sugar_cane.json                                 | JSON     |         23 |          0 |          0 |         23 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\torch.json                                      | JSON     |         28 |          0 |          0 |         28 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\water.json                                      | JSON     |         18 |          0 |          0 |         18 |
| d:\MakeGames\GameProject\ori\mod_source\blocks\yellow_stone.json                               | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\entities\ancient_boxer.json                            | JSON     |         23 |          0 |          0 |         23 |
| d:\MakeGames\GameProject\ori\mod_source\entities\bullets\arrows\flint_arrow.json               | JSON     |         17 |          0 |          0 |         17 |
| d:\MakeGames\GameProject\ori\mod_source\entities\bullets\extreme_weather_guard_sand.json       | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\entities\bullets\extreme_weather_guard_snowball.json   | JSON     |         11 |          0 |          0 |         11 |
| d:\MakeGames\GameProject\ori\mod_source\entities\bullets\grassland_guard_sapling.json          | JSON     |         17 |          0 |          0 |         17 |
| d:\MakeGames\GameProject\ori\mod_source\entities\bullets\spark.json                            | JSON     |         17 |          0 |          0 |         17 |
| d:\MakeGames\GameProject\ori\mod_source\entities\coin_entity.json                              | JSON     |          8 |          0 |          0 |          8 |
| d:\MakeGames\GameProject\ori\mod_source\entities\drop.json                                     | JSON     |          8 |          0 |          0 |          8 |
| d:\MakeGames\GameProject\ori\mod_source\entities\hostile_farmer.json                           | JSON     |         24 |          0 |          0 |         24 |
| d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\livestock\pig.json             | JSON     |         27 |          0 |          0 |         27 |
| d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\livestock\poultry\chicken.json | JSON     |         22 |          0 |          0 |         22 |
| d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\livestock\poultry\duck.json    | JSON     |         22 |          0 |          0 |         22 |
| d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\tiny_animals\caterpillar.json  | JSON     |         22 |          0 |          0 |         22 |
| d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\tiny_animals\cicada.json       | JSON     |         22 |          0 |          0 |         22 |
| d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\tiny_animals\cricket.json      | JSON     |         22 |          0 |          0 |         22 |
| d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\tiny_animals\earthworm.json    | JSON     |         22 |          0 |          0 |         22 |
| d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\tiny_animals\fly.json          | JSON     |         22 |          0 |          0 |         22 |
| d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\tiny_animals\katydid.json      | JSON     |         22 |          0 |          0 |         22 |
| d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\tiny_animals\longicorn.json    | JSON     |         22 |          0 |          0 |         22 |
| d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\tiny_animals\maggot.json       | JSON     |         22 |          0 |          0 |         22 |
| d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\tiny_animals\mantis.json       | JSON     |         22 |          0 |          0 |         22 |
| d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\tiny_animals\pillworm.json     | JSON     |         22 |          0 |          0 |         22 |
| d:\MakeGames\GameProject\ori\mod_source\entities\idle_creatures\tiny_animals\snail.json        | JSON     |         22 |          0 |          0 |         22 |
| d:\MakeGames\GameProject\ori\mod_source\entities\nick.json                                     | JSON     |         17 |          0 |          0 |         17 |
| d:\MakeGames\GameProject\ori\mod_source\entities\oak_tree_man.json                             | JSON     |         31 |          0 |          0 |         31 |
| d:\MakeGames\GameProject\ori\mod_source\entities\player.json                                   | JSON     |         20 |          0 |          0 |         20 |
| d:\MakeGames\GameProject\ori\mod_source\entities\region_guards\extreme_weather_guard.json      | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\entities\region_guards\grassland_guard.json            | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\entities\savage.json                                   | JSON     |         24 |          0 |          0 |         24 |
| d:\MakeGames\GameProject\ori\mod_source\entities\slimes\bamboo_grove_slime.json                | JSON     |         31 |          0 |          0 |         31 |
| d:\MakeGames\GameProject\ori\mod_source\entities\slimes\desert_slime.json                      | JSON     |         31 |          0 |          0 |         31 |
| d:\MakeGames\GameProject\ori\mod_source\entities\slimes\grassland_slime.json                   | JSON     |         31 |          0 |          0 |         31 |
| d:\MakeGames\GameProject\ori\mod_source\entities\slimes\oak_forest_slime.json                  | JSON     |         35 |          0 |          0 |         35 |
| d:\MakeGames\GameProject\ori\mod_source\entities\slimes\rain_forest_slime.json                 | JSON     |         31 |          0 |          0 |         31 |
| d:\MakeGames\GameProject\ori\mod_source\entities\slimes\savannah_grassland_slime.json          | JSON     |         35 |          0 |          0 |         35 |
| d:\MakeGames\GameProject\ori\mod_source\entities\slimes\snowfield_slime.json                   | JSON     |         31 |          0 |          0 |         31 |
| d:\MakeGames\GameProject\ori\mod_source\entities\zombie.json                                   | JSON     |         25 |          0 |          0 |         25 |
| d:\MakeGames\GameProject\ori\mod_source\items\armors\bark_vest.json                            | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\items\armors\leaf_skirt.json                           | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\items\armors\plant_fiber_vest.json                     | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\items\armors\sneakers.json                             | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\items\armors\sports_shorts.json                        | JSON     |         16 |          0 |          0 |         16 |
